time_sec,host_write_MB,cache_write_MB,backend_write_MB,host_delta_MB,cache_delta_MB,backend_delta_MB,nvme_host_written_MB,nvme_media_written_MB,nvme_host_delta_MB,nvme_media_delta_MB,valid_blocks,write_hit_count,gc_victim_blocks,evict_victim_blocks,l2p_write_MB,md_write_MB,l2p_delta_MB,md_delta_MB
170.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
172.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
174.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
176.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
178.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
180.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
182.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
184.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
186.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
188.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
190.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
192.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
194.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
196.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
198.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
200.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
202.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
204.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
206.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
208.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
210.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
212.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
214.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
216.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
218.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
220.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
222.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
224.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
226.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
228.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
230.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
232.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
234.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
236.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
238.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
240.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
242.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
244.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
246.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
248.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
250.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
252.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
254.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
